id,year,month,day,zipcode,latitude,longitude,sqft_lot,sqft_living,sqft_above,sqft_basement,floors,bedrooms,bathrooms,waterfront,view,condition,grade,year_built,year_renovated,sqft_lot_15nn,sqft_living_15nn,price
67,2014,5,3,98027,47.4821,-122.017,14054,1650,1130,520,1,3,2.5,0,1,4,7,1986,0,87555,1940,379880
68,2014,5,3,98059,47.4909,-122.144,6605,2920,2920,0,2,4,2.75,0,1,3,8,2012,0,6605,3030,625000
69,2014,5,3,98065,47.5324,-121.763,9945,1010,1010,0,1,3,1,0,1,4,6,1973,0,12710,1390,310000
70,2014,5,3,98117,47.6883,-122.395,5000,900,900,0,1,2,1,0,1,3,7,1944,0,5000,1280,553000
71,2014,5,4,98053,47.717,-122.026,7392,2680,2680,0,1,2,2.5,0,1,3,9,2004,0,7045,2315,775000
72,2014,5,4,98058,47.4395,-122.161,7350,2200,1570,630,1,3,2.5,0,1,5,8,1988,0,7557,2350,365000
73,2014,5,4,98092,47.2654,-122.216,9933,2530,2010,520,2,4,2.5,0,3,3,8,1990,0,9933,2140,331950
74,2014,5,4,98122,47.603,-122.289,7130,2850,1990,860,2,3,2.5,0,1,3,10,1980,0,6459,2280,783500
75,2014,5,4,98122,47.6034,-122.289,6010,2280,1140,1140,1,4,2,0,1,3,7,1900,0,6200,2240,628000
76,2014,5,5,98001,47.3319,-122.267,9306,1920,1000,920,1,3,1.75,0,1,3,7,1984,0,8458,1860,245000
77,2014,5,5,98001,47.3075,-122.284,10125,1490,1490,0,1,3,1.75,0,1,4,7,1962,0,4981,2488,184000
78,2014,5,5,98004,47.6074,-122.195,7500,1330,1330,0,1,3,1.75,0,1,3,8,1961,0,7800,1690,787000
79,2014,5,5,98005,47.5858,-122.17,10202,2120,1620,500,1,4,2.5,0,1,4,7,1960,0,10762,1570,755000
80,2014,5,5,98006,47.5641,-122.16,16920,3190,1690,1500,1,5,2.75,0,4,3,9,1976,0,13100,3100,1030000
81,2014,5,5,98006,47.5563,-122.184,8426,2740,1370,1370,1,5,2.75,0,1,4,8,1960,0,8783,2020,541125
82,2014,5,5,98008,47.632,-122.119,7519,2070,1160,910,1,4,1,0,1,3,7,1963,0,7519,1730,501000
83,2014,5,5,98019,47.7341,-121.976,10072,1050,1050,0,1,3,2,0,1,3,7,1986,0,10087,1130,300000
84,2014,5,5,98019,47.7534,-121.912,306848,1340,1340,0,1,3,1,0,1,3,5,1953,0,128066,1800,210000
85,2014,5,5,98023,47.3206,-122.397,9600,1240,1240,0,1,4,1.5,0,1,3,7,1971,0,9592,1240,220000
86,2014,5,5,98023,47.3408,-122.335,12750,3090,1750,1340,1,5,2.5,0,1,3,8,1968,0,25919,1760,384900
87,2014,5,5,98027,47.564,-122.093,2700,1790,1790,0,2,3,2.5,0,1,3,8,2010,0,3078,1890,509900
88,2014,5,5,98027,47.5404,-122.073,5750,4420,3410,1010,2,4,4.25,0,1,3,10,2006,0,5750,4420,890000
89,2014,5,5,98027,47.5688,-122.087,7712,1990,1210,780,1,4,2.25,0,1,3,8,1973,0,7393,1720,627000
90,2014,5,5,98027,47.4845,-122.08,71874,2550,1810,740,1,5,1.75,0,1,5,7,1960,0,51400,2170,525888
91,2014,5,5,98027,47.5644,-122.093,3211,1940,1940,0,2,3,2.5,0,1,3,8,2009,0,3078,1880,555000
92,2014,5,5,98027,47.5401,-122.027,998,1620,1540,80,2.5,3,2.25,0,1,3,8,2010,0,1299,1620,415000
93,2014,5,5,98027,47.4688,-122.013,36704,1800,1360,440,1,3,2.25,0,1,4,8,1978,0,36404,2730,410000
94,2014,5,5,98027,47.5396,-122.073,6000,4490,3200,1290,2,5,3.5,0,1,3,10,2006,0,6000,4530,890000
95,2014,5,5,98029,47.5493,-121.993,4343,2490,2490,0,2,3,2.5,0,1,3,9,2003,0,4106,2130,705380
96,2014,5,5,98029,47.5441,-122.013,1426,1590,1590,0,2,2,2.5,0,1,3,8,2014,0,1426,1590,419190
97,2014,5,5,98033,47.6891,-122.159,77972,1330,1330,0,1,3,1,0,1,3,7,1928,1954,17689,1340,900000
98,2014,5,5,98033,47.652,-122.182,13806,3180,3180,0,2,5,2.5,0,1,4,10,1990,0,13798,3180,800866
99,2014,5,5,98034,47.6945,-122.17,2185,1480,1480,0,2.5,3,1.75,0,1,3,9,2005,0,2441,1480,620000
100,2014,5,5,98034,47.7306,-122.227,7048,2340,1340,1000,1,4,3,0,1,4,8,1979,0,8088,1440,485000
101,2014,5,5,98034,47.7206,-122.171,9211,2010,1470,540,1,4,1.75,0,1,3,7,1977,0,8500,1840,487585
102,2014,5,5,98034,47.7296,-122.24,9022,1120,1120,0,1.5,5,1,0,1,4,7,1962,0,7500,1310,340000
103,2014,5,5,98038,47.3614,-122.035,5000,2310,2310,0,2,4,2.75,0,1,3,7,2006,0,5000,1980,309950
104,2014,5,5,98042,47.3628,-122.087,5427,1120,1120,0,1,4,1.5,0,1,3,6,1969,2014,5304,1150,219900
105,2014,5,5,98052,47.6331,-122.094,11700,2300,1960,340,1,4,1.75,0,1,4,9,1977,0,12000,2840,615000
106,2014,5,5,98052,47.7048,-122.113,4247,2450,2450,0,2,4,2.5,0,1,3,8,2013,0,4685,2970,712198
107,2014,5,5,98052,47.6912,-122.115,6000,2010,1330,680,1,3,2.25,0,1,3,8,1975,0,8260,2080,570000
108,2014,5,5,98052,47.708,-122.109,9692,3400,3400,0,2,4,2.5,0,1,3,9,2007,0,7375,3070,830000
109,2014,5,5,98053,47.6675,-121.986,307752,13540,9410,4130,3,7,8,0,5,3,12,1999,0,217800,4850,2280000
110,2014,5,5,98053,47.6805,-122.048,141570,4340,4340,0,2.5,4,2.5,0,1,3,11,1992,0,97138,2720,1090000
111,2014,5,5,98055,47.4439,-122.19,7838,1880,1880,0,2,3,2.5,0,1,3,7,1994,0,7915,1810,309950
112,2014,5,5,98056,47.51,-122.185,4535,3040,3040,0,2,3,2.5,0,1,3,9,2007,0,4666,2670,478000
113,2014,5,5,98059,47.515,-122.117,21904,3180,3180,0,2,4,2.5,0,4,3,9,2000,0,29170,3715,736500
114,2014,5,5,98059,47.4804,-122.126,6338,2910,2910,0,2,4,2.5,0,1,3,8,2008,0,5877,2500,549000
115,2014,5,5,98059,47.4873,-122.099,15040,1550,1550,0,1,3,2,0,1,4,6,1958,0,41416,1510,249950
116,2014,5,5,98065,47.5402,-121.887,6479,2910,2910,0,2,4,2.5,0,1,3,7,2006,0,5178,2320,499000
117,2014,5,5,98074,47.62,-122.043,8744,1900,1900,0,2,3,2.5,0,1,3,8,1987,0,8744,2030,560000
118,2014,5,5,98074,47.6227,-122.029,10281,2730,2730,0,2,4,2.5,0,3,3,9,1996,0,7220,2750,780000
119,2014,5,5,98075,47.5929,-121.989,39639,1670,1670,0,1,3,1.75,0,1,4,8,1976,1992,30492,2330,600000
120,2014,5,5,98075,47.5937,-121.982,9892,3690,3690,0,2,4,3,0,1,3,10,1998,0,11294,3430,865000
121,2014,5,5,98075,47.5857,-122.038,7857,3240,3240,0,2,3,2.5,0,1,3,10,1994,0,7857,2970,800000
122,2014,5,5,98092,47.3328,-122.173,6500,2370,2370,0,2,4,2.5,0,1,3,9,1998,0,6137,2590,328000
123,2014,5,5,98103,47.6596,-122.338,4240,1390,1050,340,1,4,1,0,1,3,7,1924,0,4240,1810,657100
124,2014,5,5,98103,47.6994,-122.347,6030,1410,1410,0,1.5,3,2,0,1,4,7,1930,0,6300,1410,418000
125,2014,5,5,98103,47.6916,-122.34,1332,1410,1410,0,3,3,2.25,0,1,3,8,2005,0,1448,1430,406100
126,2014,5,5,98103,47.6634,-122.34,1175,1270,1110,160,2,2,3,0,1,3,8,2000,0,1800,1290,531000
127,2014,5,5,98105,47.6604,-122.29,2000,1680,1680,0,3,3,2.5,0,1,3,9,1909,1998,5000,1950,670000
128,2014,5,5,98105,47.6578,-122.286,8510,4010,2850,1160,2,5,3.5,0,2,5,9,1971,0,6128,2610,1395000
129,2014,5,5,98112,47.639,-122.31,5700,2350,1810,540,1.5,3,2,0,1,4,8,1939,0,6000,2170,770000
130,2014,5,5,98112,47.6196,-122.292,4000,2170,1610,560,2,4,3,0,1,4,9,1982,2011,4000,1670,831000
131,2014,5,5,98112,47.6364,-122.28,4000,2220,2220,0,2,2,2.5,0,1,3,9,2000,0,4000,1870,1425000
132,2014,5,5,98112,47.6205,-122.294,5400,1140,1140,0,1,2,1,0,1,5,7,1908,0,4800,1520,549000
133,2014,5,5,98115,47.6856,-122.315,989,1408,1408,0,3,3,2.5,0,1,3,8,2005,0,1342,1408,416286
134,2014,5,5,98115,47.6878,-122.286,6360,1880,1040,840,1,3,1.75,0,1,4,7,1945,0,6175,1770,600000
135,2014,5,5,98115,47.6809,-122.286,5900,2800,1660,1140,1,4,2.5,0,1,3,8,1963,0,5900,2580,665000
136,2014,5,5,98115,47.6738,-122.297,5000,1800,1080,720,1,3,2,0,1,4,7,1942,0,5000,1800,618500
137,2014,5,5,98117,47.6926,-122.363,8640,1770,1520,250,1.5,2,1,0,1,3,6,1949,0,4804,1060,585000
138,2014,5,5,98117,47.6971,-122.371,6651,2440,2440,0,2,4,2.5,0,1,3,9,2014,0,7653,1350,631625
139,2014,5,5,98118,47.5259,-122.261,7000,2540,1320,1220,1,2,1,0,1,5,8,1942,0,6000,2160,580000
140,2014,5,5,98118,47.5238,-122.287,6000,1450,1450,0,1,3,1,0,1,4,7,1953,0,6464,1170,287000
141,2014,5,5,98119,47.6337,-122.371,3600,2010,2010,0,1.5,4,1.75,0,1,3,7,1902,0,3600,2010,740000
142,2014,5,5,98122,47.6024,-122.295,5000,2920,2780,140,2.5,6,1.75,0,1,4,9,1908,0,5000,2020,823000
143,2014,5,5,98125,47.7338,-122.309,2017,1571,1571,0,3,3,3,0,1,3,8,2008,0,1497,1520,366750
144,2014,5,5,98133,47.7042,-122.352,3844,1480,1480,0,1.5,4,2,0,1,5,7,1928,0,3844,1480,449250
145,2014,5,5,98133,47.7771,-122.339,9389,1970,1140,830,1,4,1.75,0,1,5,7,1960,0,8135,1820,379950
146,2014,5,5,98133,47.7308,-122.34,9240,1840,1540,300,1,5,2,0,1,4,7,1942,1958,5250,1200,435000
147,2014,5,5,98133,47.731,-122.341,5250,1140,1140,0,1.5,2,1,0,1,4,6,1949,0,5250,1450,329950
148,2014,5,5,98136,47.5221,-122.39,1240,1410,1140,270,2,2,3,0,1,3,8,2006,0,1273,1410,405000
149,2014,5,5,98136,47.5247,-122.391,5510,840,840,0,1,2,1,0,1,3,7,1955,0,5510,1630,400000
150,2014,5,5,98144,47.5801,-122.306,4000,2230,2230,0,2,3,2.5,0,1,3,7,1954,0,4000,1310,398750
151,2014,5,5,98144,47.5917,-122.295,1438,1160,1160,0,2,2,1.5,0,1,3,7,2001,0,1740,1220,340000
152,2014,5,5,98146,47.492,-122.364,9200,3200,1600,1600,1,6,2.75,0,3,4,8,1953,0,9500,2220,497300
153,2014,5,5,98155,47.7504,-122.306,9519,2110,2110,0,1,2,1.75,0,1,2,7,1948,0,9519,1480,400000
154,2014,5,5,98168,47.4882,-122.325,7158,810,810,0,1,2,1,0,1,5,6,1944,0,7158,1090,206000
155,2014,5,5,98177,47.7241,-122.369,9000,2160,1400,760,1,3,1.5,0,3,4,8,1949,0,9000,3010,650000
156,2014,5,5,98198,47.4204,-122.324,8063,1200,1200,0,1,2,1,0,1,4,6,1958,0,7500,1200,232000
157,2014,5,5,98198,47.4136,-122.333,10200,2050,1430,620,1,5,2,0,1,3,6,1956,0,8625,1940,210000
158,2014,5,5,98199,47.6515,-122.399,5520,1560,780,780,1,3,1.75,0,1,4,6,1944,0,6000,1470,524000
159,2014,5,5,98199,47.6382,-122.397,5390,2600,1300,1300,1,4,2.75,0,1,4,8,1960,0,5600,2550,855000
160,2014,5,6,98001,47.3324,-122.28,7735,1690,1060,630,1,3,1.75,0,1,4,7,1976,0,7503,1580,197000
161,2014,5,6,98001,47.3182,-122.279,18768,2680,2680,0,1,4,2,0,1,5,8,1965,0,15750,1230,360000
162,2014,5,6,98004,47.5974,-122.202,10279,4490,3930,560,2,5,5,0,1,3,10,2013,0,10279,2490,1800000
163,2014,5,6,98006,47.5694,-122.132,10117,2450,1580,870,1,4,3,0,1,5,8,1967,0,10125,2530,610000
164,2014,5,6,98006,47.5689,-122.126,29930,2260,1400,860,2,4,2.25,0,1,4,8,1977,0,29930,2770,599000
165,2014,5,6,98006,47.5699,-122.164,36478,930,930,0,1,2,1,0,3,3,6,1951,0,11141,2800,675000
166,2014,5,6,98006,47.5599,-122.105,12047,2290,2290,0,2,4,2.5,0,1,4,9,1988,0,15666,3130,736000
167,2014,5,6,98007,47.5874,-122.136,8000,1430,1430,0,1,3,1.5,0,1,4,7,1956,0,8000,1450,518000
168,2014,5,6,98008,47.6224,-122.116,6500,1260,1260,0,1,3,1.75,0,1,4,7,1966,0,7700,1500,390000
169,2014,5,6,98008,47.5803,-122.119,9636,2910,1690,1220,1,5,2.5,0,1,4,7,1964,0,10385,2830,530000
170,2014,5,6,98008,47.6074,-122.125,10720,1840,960,880,1,4,1.75,0,1,3,7,1958,0,9044,1840,404000
171,2014,5,6,98014,47.6553,-121.912,13816,1650,1650,0,2,3,2.5,0,1,3,7,1998,0,15144,1650,272000
172,2014,5,6,98023,47.3266,-122.348,8850,800,800,0,1,3,1.5,0,1,4,6,1959,0,8775,820,191000
173,2014,5,6,98023,47.2975,-122.37,7684,1850,1320,530,1,3,1.75,0,1,3,8,1979,0,7630,1940,218000
174,2014,5,6,98023,47.3076,-122.362,8580,1420,1420,0,1,3,1.5,0,1,3,6,1962,0,8580,1200,136500
175,2014,5,6,98023,47.3149,-122.378,8000,1980,1560,420,1,3,2.25,0,1,4,9,1974,0,8000,2360,295000
176,2014,5,6,98027,47.5497,-122.077,13850,2110,2110,0,2,4,2.5,0,1,3,9,1987,0,10194,2520,606000
177,2014,5,6,98028,47.7466,-122.241,15480,3100,2400,700,2,4,3,0,1,3,8,1996,0,42500,2000,563000
178,2014,5,6,98028,47.7663,-122.234,117612,3470,3470,0,1.5,6,3,0,1,3,7,1924,0,17100,2120,475000
179,2014,5,6,98028,47.7373,-122.241,11600,1500,1000,500,1,4,1.75,0,1,4,7,1955,0,11600,1740,379900
180,2014,5,6,98028,47.7443,-122.22,5684,2000,2000,0,2,4,2.5,0,1,3,8,1996,0,7066,2210,513000
181,2014,5,6,98034,47.7198,-122.171,7770,2240,1340,900,1,5,2.5,0,1,3,7,1978,0,7770,1820,455000
182,2014,5,6,98034,47.7163,-122.229,10109,1850,1850,0,2,3,2.5,0,1,3,8,1991,0,9660,1780,535000
183,2014,5,6,98034,47.7245,-122.2,7680,1440,1200,240,1,4,2,0,1,3,7,1971,0,9660,1460,397000
184,2014,5,6,98034,47.7357,-122.193,7983,1520,1520,0,1,4,2,0,1,5,7,1967,0,7783,1520,425000
185,2014,5,6,98040,47.5309,-122.228,15175,4510,4510,0,2,5,4,0,1,3,10,1969,2002,13500,3510,1870000
186,2014,5,6,98042,47.3732,-122.129,5390,2000,2000,0,2,4,2.5,0,1,3,7,2003,0,5390,2330,284000
187,2014,5,6,98042,47.375,-122.14,8366,1490,1010,480,1,3,1.75,0,1,4,7,1975,0,7469,1490,234000
188,2014,5,6,98045,47.4863,-121.73,11800,1630,1630,0,1,3,1.75,0,1,4,7,1971,0,57428,2090,280000
189,2014,5,6,98052,47.7157,-122.103,8111,3040,3040,0,2,5,2.25,0,1,3,8,1984,0,8304,2020,562000
190,2014,5,6,98052,47.7227,-122.098,37981,2150,2150,0,2,4,2.5,0,1,3,9,1985,0,37981,2450,609000
191,2014,5,6,98052,47.6788,-122.117,6425,3040,3040,0,2,4,2.5,0,1,3,8,2008,0,7800,3040,776000
192,2014,5,6,98053,47.6728,-122.012,32417,3740,3740,0,2,4,2,0,1,3,9,2000,0,32417,3180,860000
193,2014,5,6,98055,47.4595,-122.208,8327,3569,3569,0,2,4,3.25,0,1,3,10,2013,0,5251,2550,580000
194,2014,5,6,98055,47.49,-122.22,7034,1010,1010,0,1,3,1,0,1,3,7,1954,0,10994,1440,175000
195,2014,5,6,98056,47.539,-122.179,9568,1230,1230,0,1,3,1,0,1,5,7,1962,0,9575,1270,387000
196,2014,5,6,98058,47.4444,-122.182,3826,2331,2331,0,2,4,2.5,0,1,3,8,2007,0,3826,2441,345000
197,2014,5,6,98059,47.5273,-122.143,12369,3200,3200,0,2,4,2.5,0,1,3,10,1998,0,12960,3770,725126
198,2014,5,6,98059,47.4996,-122.146,54885,2460,2460,0,2,3,2.5,0,1,4,8,1980,0,21407,2770,520000
199,2014,5,6,98074,47.6176,-122.045,7167,1790,1790,0,2,3,2.5,0,1,3,8,1989,0,7418,1680,515000
200,2014,5,6,98074,47.6378,-122.04,14550,3880,3880,0,2,4,2.5,0,1,3,10,1987,0,14045,3240,762300
201,2014,5,6,98074,47.6359,-122.052,11985,2970,1770,1200,1,3,2.5,0,1,3,9,1995,0,12049,2990,525000
202,2014,5,6,98074,47.6075,-122.017,7864,3030,3030,0,2,4,2.5,0,1,3,9,1999,0,7034,2790,685000
203,2014,5,6,98075,47.5741,-122.05,36615,3480,2490,990,2,5,3.5,0,1,4,8,1983,0,35910,2540,650000
204,2014,5,6,98077,47.74,-122.048,45732,2740,2740,0,2,4,2.5,0,1,3,8,1995,0,43560,2080,483500
205,2014,5,6,98102,47.6426,-122.327,1970,2200,1610,590,2,3,2.5,0,1,3,9,2008,0,3505,1890,1050000
206,2014,5,6,98103,47.6872,-122.349,4080,1420,1420,0,1.5,3,2,0,1,3,7,1905,2013,4590,1420,485000
207,2014,5,6,98103,47.6937,-122.342,1320,1270,1270,0,3,3,2,0,1,3,8,2006,0,1320,1370,369950
208,2014,5,6,98103,47.6653,-122.333,2400,1170,740,430,1,2,1.75,0,1,4,7,1903,0,3919,1570,499000
209,2014,5,6,98103,47.6831,-122.343,3780,1800,1400,400,1.5,5,2.75,0,1,3,7,1926,0,3780,1400,533000
210,2014,5,6,98105,47.6687,-122.264,10920,3760,2400,1360,1.5,4,3.25,0,1,5,9,1950,0,11050,3430,1580000
211,2014,5,6,98105,47.6624,-122.291,6000,1660,1160,500,1,2,1.75,0,1,3,7,1942,0,4000,1660,484000
212,2014,5,6,98106,47.525,-122.356,5160,900,900,0,1,2,1,0,1,3,6,1952,0,5160,900,219000
213,2014,5,6,98106,47.551,-122.356,6156,1890,980,910,1,4,2.5,0,1,3,7,1980,0,6954,1590,325000
214,2014,5,6,98108,47.5701,-122.296,5000,2890,1310,1580,1,5,3.75,0,1,3,7,2006,0,5117,1930,390000
215,2014,5,6,98112,47.62,-122.3,1171,1480,1480,0,3,3,2.5,0,1,3,8,2006,0,1231,1480,500000
216,2014,5,6,98115,47.6725,-122.272,7475,1630,1160,470,1,3,1.5,0,2,3,7,1940,0,7475,2320,650000
217,2014,5,6,98115,47.6966,-122.324,6083,1510,860,650,1,3,1,0,1,4,6,1940,0,5712,1510,313950
218,2014,5,6,98115,47.6977,-122.292,6250,1110,1110,0,1,3,1,0,1,3,7,1956,0,6944,2010,345000
219,2014,5,6,98117,47.6949,-122.37,5000,2020,2020,0,1.5,5,2,0,1,4,7,1938,0,6600,1510,488000
